question,cypher,data_source,instance_id,database_reference_alias
Which 3 users have chatted in the most streams and what are their names?,"MATCH (u:User)-[:CHATTER]->(s:Stream) WITH u, count(s) AS streams_chatted_in ORDER BY streams_chatted_in DESC LIMIT 3 RETURN u.name AS user_name, streams_chatted_in",neo4jLabs_synthetic_gpt4turbo,instance_id_25552,neo4jlabs_demo_db_twitch
List the 3 countries with the lowest number of filings.,"MATCH (c:Country)<-[:COUNTRY]-(e:Entity)-[:FILED]->(f:Filing) WITH c.name AS country, COUNT(f) AS filings_count ORDER BY filings_count ASC LIMIT 3 RETURN country, filings_count",neo4jLabs_synthetic_gpt4o,instance_id_41348,neo4jlabs_demo_db_fincen
Find the top 5 products ordered during the month of July 1996.,"MATCH (p:Product)<-[:ORDERS]-(o:Order) WHERE o.orderDate >= '1996-07-01 00:00:00.000' AND o.orderDate <= '1996-07-31 23:59:59.999' WITH p, count(o) AS ordersCount ORDER BY ordersCount DESC LIMIT 5 RETURN p.productName, ordersCount",neo4jLabs_synthetic_gpt4turbo,instance_id_22008,neo4jlabs_demo_db_northwind
What are the top 5 movies with the highest imdbRating?,MATCH (m:Movie) WHERE m.imdbRating IS NOT NULL RETURN m ORDER BY m.imdbRating DESC LIMIT 5,neo4jLabs_synthetic_gpt4turbo,instance_id_25294,neo4jlabs_demo_db_recommendations
Which 3 keywords are most commonly associated with movies that have an original language of 'en'?,"MATCH (m:Movie)-[:ORIGINAL_LANGUAGE]->(l:Language {id: 'en'}),       (m)-[:HAS_KEYWORD]->(k:Keyword) RETURN k.name AS keyword, COUNT(*) AS count ORDER BY count DESC LIMIT 3",neo4jLabs_synthetic_gpt4o,instance_id_44437,neo4jlabs_demo_db_eoflix
"List the 'name' of all 'Application' nodes that have a 'dependency' on the 'Service' named ""java"".",MATCH (s:Service {name: 'java'})<-[:DEPENDS_ON*]-(a:Application) RETURN DISTINCT a.name,neo4jLabs_synthetic_gemini,instance_id_31779,neo4jlabs_demo_db_network
What are the first 3 movies with an IMDb rating lower than 5?,"MATCH (m:Movie) WHERE m.imdbRating < 5 RETURN m.title, m.imdbRating ORDER BY m.imdbRating LIMIT 3",neo4jLabs_synthetic_claudeopus,instance_id_35485,neo4jlabs_demo_db_recommendations
List all movies that have been directed by a person who died before 2000.,MATCH (d:Director)-[:DIRECTED]->(m:Movie) WHERE d.died < date('2000-01-01') RETURN m,neo4jLabs_synthetic_gpt4turbo,instance_id_25104,neo4jlabs_demo_db_recommendations
List the first 3 actors who have a tmdbId but no imdbId.,"MATCH (a:Actor) WHERE a.tmdbId IS NOT NULL AND a.imdbId IS NULL RETURN a.name, a.tmdbId LIMIT 3",neo4jLabs_synthetic_gpt4o,instance_id_42023,neo4jlabs_demo_db_recommendations
What are the 3 most common languages for streams that have been created after 2015?,"MATCH (s:Stream)-[:HAS_LANGUAGE]->(l:Language) WHERE s.createdAt > datetime('2015-01-01T00:00:00Z') RETURN l.name, count(s) AS stream_count ORDER BY stream_count DESC LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_25570,neo4jlabs_demo_db_twitch
Find the top 5 entities ordered by their internal ID.,MATCH (e:Entity) RETURN e ORDER BY e.internal_id LIMIT 5,neo4jLabs_synthetic_gpt4turbo,instance_id_21979,neo4jlabs_demo_db_offshoreleaks
What are the first 3 languages spoken by streams with over 1 million total views?,MATCH (s:Stream)-[:HAS_LANGUAGE]->(l:Language) WHERE s.total_view_count > 1000000 RETURN DISTINCT l.name ORDER BY l.name LIMIT 3,neo4jLabs_synthetic_gpt4o,instance_id_43266,neo4jlabs_demo_db_twitch
List the first 3 users who rated the adult film titled 'Standoff'.,MATCH (u:User)-[r:RATED]->(a:Adult {title: 'Standoff'}) RETURN u LIMIT 3,neo4jLabs_synthetic_gpt4turbo,instance_id_20796,neo4jlabs_demo_db_eoflix
What are the top 3 streams with the highest follower counts?,"MATCH (s:Stream) RETURN s.name, s.followers ORDER BY s.followers DESC LIMIT 3",neo4jLabs_synthetic_gpt4o,instance_id_43347,neo4jlabs_demo_db_twitch
What are the names of the top 3 streams with the most followers?,"MATCH (s:Stream) RETURN s.name AS stream_name, s.followers AS follower_count ORDER BY follower_count DESC LIMIT 3",neo4jLabs_synthetic_gemini,instance_id_33664,neo4jlabs_demo_db_twitch
Find the top 5 movies with the lowest ratings in REVIEWS.,"MATCH (m:Movie)<-[r:REVIEWED]-(p:Person) RETURN m.title AS movie, avg(r.rating) AS averageRating ORDER BY averageRating LIMIT 5",neo4jLabs_synthetic_claudeopus,instance_id_34967,neo4jlabs_demo_db_movies
"Which movie was released on the same day as ""Toy Story""?","MATCH (toyStory:Movie {title: ""Toy Story""}) WITH toyStory.released AS toyStoryReleaseDate MATCH (m:Movie) WHERE m.released = toyStoryReleaseDate AND m.title <> ""Toy Story"" RETURN m.title",neo4jLabs_synthetic_gemini,instance_id_29627,neo4jlabs_demo_db_recommendations
List the officers who are officers of entities that have the same name as another entity.,MATCH (o:Officer)-[:officer_of]->(e:Entity) MATCH (e)-[:same_name_as]->(e2:Entity) RETURN DISTINCT o.name,neo4jLabs_synthetic_gemini,instance_id_30563,neo4jlabs_demo_db_offshoreleaks
Which movies have been rated by users named 'Omar Huffman'?,"MATCH (u:User {name: 'Omar Huffman'})-[r:RATED]->(m:Movie) RETURN m.title AS movie, r.rating AS rating",neo4jLabs_synthetic_claudeopus,instance_id_35960,neo4jlabs_demo_db_recommendations
What are the first 3 products with a quantity per unit of '10 boxes x 20 bags'?,"MATCH (p:Product) WHERE p.quantityPerUnit = '10 boxes x 20 bags' RETURN p.productName, p.productID, p.quantityPerUnit LIMIT 3",neo4jLabs_synthetic_gpt4o,instance_id_45028,neo4jlabs_demo_db_northwind
Which 3 movies have more than 5000 vote counts?,MATCH (m:Movie) WHERE m.vote_count > 5000 RETURN m ORDER BY m.vote_count DESC LIMIT 3,neo4jLabs_synthetic_gpt4turbo,instance_id_23535,neo4jlabs_demo_db_eoflix
What is the average runtime of animated movies?,MATCH (m:Movie)-[:IN_GENRE]->(g:Genre) WHERE g.name = 'Animation' RETURN avg(m.runtime),neo4jLabs_synthetic_gemini,instance_id_29401,neo4jlabs_demo_db_recommendations
List the top 5 keywords associated with the video titled 'Jonah: A VeggieTales Movie'.,MATCH (v:Video {title: 'Jonah: A VeggieTales Movie'})-[:HAS_KEYWORD]->(k:Keyword) RETURN k.name ORDER BY k.id ASC LIMIT 5,neo4jLabs_synthetic_gpt4turbo,instance_id_23545,neo4jlabs_demo_db_eoflix
List the first 3 users with the lowest number of followers.,"MATCH (u:User) WHERE u.followers IS NOT NULL RETURN u.screen_name, u.followers ORDER BY u.followers LIMIT 3",neo4jLabs_synthetic_claudeopus,instance_id_37107,neo4jlabs_demo_db_twitter
List the names of all egress routers in the data center.,MATCH (dc:DataCenter)-[:CONTAINS]->(egress:Egress)  RETURN egress.name,neo4jLabs_synthetic_gemini,instance_id_31699,neo4jlabs_demo_db_network
What are the most common jurisdictions for entities?,"MATCH (e:Entity) WITH e.jurisdiction AS jurisdiction, COUNT(e) AS count RETURN jurisdiction, count ORDER BY count DESC LIMIT 10",neo4jLabs_synthetic_gpt4o,instance_id_44887,neo4jlabs_demo_db_offshoreleaks
Identify entities with a jurisdiction description of 'Samoa'.,MATCH (e:Entity) WHERE e.jurisdiction_description = 'Samoa' RETURN e,neo4jLabs_synthetic_gpt4turbo,instance_id_21622,neo4jlabs_demo_db_offshoreleaks
List the first 5 Officers who are officers of Entities registered in Samoa.,"MATCH (e:Entity) WHERE e.jurisdiction_description = ""Samoa"" MATCH (o:Officer)-[:officer_of]->(e) RETURN DISTINCT o.name LIMIT 5",neo4jLabs_synthetic_gemini,instance_id_30746,neo4jlabs_demo_db_offshoreleaks
Who are the top 3 users that 'Neo4j' follows?,MATCH (u:User {screen_name: 'neo4j'})-[:FOLLOWS]->(followed:User) RETURN followed ORDER BY followed.followers DESC LIMIT 3,neo4jLabs_synthetic_gpt4turbo,instance_id_24173,neo4jlabs_demo_db_twitter
Which product (`productID`) has been ordered the most in terms of quantity?,"MATCH (o:Order)-[oi:ORDERS]->(p:Product) WITH p.productID AS productID, sum(oi.quantity) AS totalQuantityOrdered ORDER BY totalQuantityOrdered DESC LIMIT 1 RETURN productID",neo4jLabs_synthetic_gemini,instance_id_32191,neo4jlabs_demo_db_northwind
Which 3 categories have the least discontinued products?,"MATCH (p:Product)-[:PART_OF]->(c:Category) WHERE p.discontinued = false WITH c, count(p) AS ActiveProducts ORDER BY ActiveProducts ASC RETURN c.categoryName, ActiveProducts LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_21687,neo4jlabs_demo_db_northwind
What are the top 3 products with the highest units in stock?,"MATCH (p:Product) RETURN p.productName, p.unitsInStock ORDER BY p.unitsInStock DESC LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_20461,neo4jlabs_demo_db_northwind
"Who are the beneficiaries in Filings that involved an amount over $2,000,000?",MATCH (f:Filing)-[:BENEFITS]->(e:Entity) WHERE f.amount > 2000000 RETURN e.name AS Beneficiary,neo4jLabs_synthetic_gpt4turbo,instance_id_21463,neo4jlabs_demo_db_fincen
Which 3 movies have the most number of votes cast by users?,"MATCH (m:Movie)<-[:RATED]-(:User) RETURN m.title, count(*) AS votes ORDER BY votes DESC LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_24709,neo4jlabs_demo_db_recommendations
Which 3 subscriptions will expire the soonest?,MATCH (s:Subscription) RETURN s ORDER BY s.expiresAt LIMIT 3,neo4jLabs_synthetic_claudeopus,instance_id_37953,neo4jlabs_demo_db_eoflix
What is the average start time of all the OS?,MATCH (os:OS) WITH avg(os.startTime) AS averageStartTime RETURN averageStartTime,neo4jLabs_synthetic_gemini,instance_id_32409,neo4jlabs_demo_db_network
Which movies are part of the Toy Story Collection?,"MATCH (m:Movie)-[:IN_COLLECTION]->(c:Collection {name: ""Toy Story Collection""}) RETURN m",neo4jLabs_synthetic_gpt4turbo,instance_id_23395,neo4jlabs_demo_db_eoflix
Which movies have a director who was born after 1960 and have generated over 100 million in revenue?,"MATCH (m:Movie)-[:DIRECTED]-(d:Director) WHERE d.born > date('1960-01-01') AND m.revenue > 100000000 RETURN m.title AS MovieTitle, d.name AS DirectorName, m.revenue AS Revenue",neo4jLabs_synthetic_gpt4o,instance_id_42604,neo4jlabs_demo_db_recommendations
Which users are moderators for the stream with the name '9linda'?,MATCH (s:Stream {name: '9linda'})<-[:MODERATOR]-(u:User) RETURN u,neo4jLabs_synthetic_gpt4turbo,instance_id_24439,neo4jlabs_demo_db_twitch
Which entities have filed a filing with an amount over 500000?,MATCH (e:Entity)-[:FILED]->(f:Filing) WHERE f.amount > 500000 RETURN e,neo4jLabs_synthetic_gpt4turbo,instance_id_21540,neo4jlabs_demo_db_fincen
List the top 5 streams by total view count.,MATCH (s:Stream) RETURN s ORDER BY s.total_view_count DESC LIMIT 5,neo4jLabs_synthetic_gpt4turbo,instance_id_24403,neo4jlabs_demo_db_twitch
What is the name of the data center that contains the router 'DC1-R-3'?,MATCH (r:Router {name: 'DC1-R-3'})<-[:CONTAINS]-(dc:DataCenter) RETURN dc.name,neo4jLabs_synthetic_gemini,instance_id_32392,neo4jlabs_demo_db_network
What is the average unit price of products in the 'Dairy Products' category?,MATCH (c:Category {categoryName: 'Dairy Products'})<-[:PART_OF]-(p:Product) RETURN avg(p.unitPrice) AS averageUnitPrice,neo4jLabs_synthetic_gpt4o,instance_id_45037,neo4jlabs_demo_db_northwind
"List the distinct 'beneficiary_bank_country' values for filings where the 'originator_bank_country' is Germany and the 'amount' is less than 10,000.","MATCH (f:Filing) WHERE f.originator_bank_country = ""Germany"" AND f.amount < 10000 RETURN DISTINCT f.beneficiary_bank_country",neo4jLabs_synthetic_gemini,instance_id_29233,neo4jlabs_demo_db_fincen
Who are the top 3 actors in terms of the diversity of roles played?,"MATCH (p:Person)-[a:ACTED_IN]->(m:Movie) WITH p, count(DISTINCT a.roles) AS diversity ORDER BY diversity DESC LIMIT 3 RETURN p.name AS Actor, diversity",neo4jLabs_synthetic_gpt4turbo,instance_id_23322,neo4jlabs_demo_db_movies
"Which movie has the most cast members with a gender of ""2""?","MATCH (m:Movie)<-[cf:CAST_FOR]-(p:Person {gender: 2}) WITH m, count(p) AS cast_count ORDER BY cast_count DESC RETURN m.title, cast_count LIMIT 1",neo4jLabs_synthetic_gemini,instance_id_31964,neo4jlabs_demo_db_eoflix
How many countries have at least one entity that has filed a filing?,MATCH (c:Country)<-[:COUNTRY]-(e:Entity)-[:FILED]->(:Filing) RETURN count(DISTINCT c) AS numberOfCountries,neo4jLabs_synthetic_gpt4o,instance_id_41280,neo4jlabs_demo_db_fincen
Display the first 3 users followed by 'Neo4j' who have more than 10000 followers.,"MATCH (me:Me {screen_name: 'neo4j'})-[:FOLLOWS]->(followed:User) WHERE followed.followers > 10000 RETURN followed.screen_name, followed.followers ORDER BY followed.followers DESC LIMIT 3",neo4jLabs_synthetic_claudeopus,instance_id_37131,neo4jlabs_demo_db_twitter
List the top 5 teams by the number of streams they have.,"MATCH (t:Team)<-[:HAS_TEAM]-(s:Stream) RETURN t.name AS TeamName, count(s) AS NumberOfStreams ORDER BY NumberOfStreams DESC LIMIT 5",neo4jLabs_synthetic_gpt4turbo,instance_id_25630,neo4jlabs_demo_db_twitch
List the top 5 movies that have been rated over 8.0.,"MATCH (m:Movie)-[r:RATED]->(u:User) WHERE r.rating > 8.0 RETURN m.title, m.id, r.rating ORDER BY r.rating DESC LIMIT 5",neo4jLabs_synthetic_gpt4turbo,instance_id_23467,neo4jlabs_demo_db_eoflix
Which 3 filings have the shortest duration from begin to end date?,"MATCH (f:Filing) WHERE f.begin IS NOT NULL AND f.end IS NOT NULL RETURN f ORDER BY duration.between(f.begin, f.end) LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_21413,neo4jlabs_demo_db_fincen
Which 3 countries have the most entities involved as beneficiaries in filings?,"MATCH (f:Filing)-[:BENEFITS]->(e:Entity)-[:COUNTRY]->(c:Country) RETURN c.name AS Country, count(e) AS NumberOfEntities ORDER BY NumberOfEntities DESC LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_26923,neo4jlabs_demo_db_fincen
How many other nodes have a closed_date that is later than their incorporation_date?,MATCH (o:Other) WHERE o.closed_date > o.incorporation_date RETURN count(o),neo4jLabs_synthetic_gemini,instance_id_30603,neo4jlabs_demo_db_offshoreleaks
What are the top 3 countries by the average amount of filings?,"MATCH (c:Country)<-[:COUNTRY]-(e:Entity)-[:FILED]->(f:Filing) WITH c.name AS country, AVG(f.amount) AS avg_amount RETURN country, avg_amount ORDER BY avg_amount DESC LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_22860,neo4jlabs_demo_db_fincen
Name 3 movies that Tom Hanks has a credit in as a crew member.,MATCH (p:Person {name: 'Tom Hanks'})-[:CREW_FOR]->(m:Movie) RETURN m.title LIMIT 3,neo4jLabs_synthetic_claudeopus,instance_id_35149,neo4jlabs_demo_db_eoflix
List the first 5 games with streams that have been active for over 10 years.,MATCH (s:Stream)-[:PLAYS]->(g:Game) WHERE datetime().epochMillis - s.createdAt.epochMillis > 10 * 365 * 24 * 60 * 60 * 1000 RETURN DISTINCT g.name LIMIT 5,neo4jLabs_synthetic_gpt4o,instance_id_43252,neo4jlabs_demo_db_twitch
"What are the genres of the movie ""Toy Story""?","MATCH (m:Movie {title: ""Toy Story""})-[:IN_GENRE]->(g:Genre) RETURN g.name",neo4jLabs_synthetic_gemini,instance_id_29746,neo4jlabs_demo_db_recommendations
Identify the first 3 actors who have acted in movies with at least three different directors.,"MATCH (a:Actor)-[:ACTED_IN]->(m:Movie)<-[:DIRECTED]-(d:Director) WITH a, count(DISTINCT d) AS numDirectors WHERE numDirectors >= 3 RETURN a.name AS actor ORDER BY numDirectors DESC LIMIT 3",neo4jLabs_synthetic_claudeopus,instance_id_36051,neo4jlabs_demo_db_recommendations
Which 3 production companies have produced the most movies?,"MATCH (pc:ProductionCompany)-[:PRODUCED_BY]-(m:Movie) RETURN pc.name, count(m) AS movies_produced ORDER BY movies_produced DESC LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_23254,neo4jlabs_demo_db_eoflix
"What are the names of streams that have the language 'en' and more than 50,000 followers?",MATCH (s:Stream)-[:HAS_LANGUAGE]->(l:Language) WHERE l.name = 'en' AND s.followers > 50000 RETURN s.name,neo4jLabs_synthetic_gpt4o,instance_id_43326,neo4jlabs_demo_db_twitch
Which 5 directors have directed movies in more than 3 different genres?,"MATCH (d:Director)-[:DIRECTED]->(m:Movie)-[:IN_GENRE]->(g:Genre) WITH d, count(DISTINCT g) AS num_genres WHERE num_genres > 3 RETURN d.name AS director, num_genres ORDER BY num_genres DESC LIMIT 5",neo4jLabs_synthetic_claudeopus,instance_id_36052,neo4jlabs_demo_db_recommendations
Which products are supplied by a supplier in 'London'?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product) WHERE s.city = 'London' RETURN p.productName AS productName, p.productID AS productID",neo4jLabs_synthetic_gpt4o,instance_id_45076,neo4jlabs_demo_db_northwind
What are the top 5 genres with the most movies having a poster path that starts with '/rh'?,"MATCH (g:Genre)<-[:IN_GENRE]-(m:Movie) WHERE m.poster_path STARTS WITH '/rh' RETURN g.name AS genre, count(m) AS movie_count ORDER BY movie_count DESC LIMIT 5",neo4jLabs_synthetic_claudeopus,instance_id_36906,neo4jlabs_demo_db_eoflix
Find the stream with the most chatters.,"MATCH (s:Stream)<-[:CHATTER]-(u) WITH s, count(DISTINCT u) AS chatter_count RETURN s.id, chatter_count ORDER BY chatter_count DESC LIMIT 1",neo4jLabs_synthetic_gemini,instance_id_34151,neo4jlabs_demo_db_twitch
"What is the average rating of movies with the word ""amazing"" in their review summary?",MATCH (:Person)-[r:REVIEWED]->(m:Movie) WHERE toLower(r.summary) CONTAINS 'amazing' RETURN avg(r.rating) AS average_rating,neo4jLabs_synthetic_gemini,instance_id_33055,neo4jlabs_demo_db_movies
List the streams with the most distinct teams associated.,"MATCH (s:Stream)-[:HAS_TEAM]->(t:Team) WITH s, count(DISTINCT t) as teamCount RETURN s.name AS streamName, teamCount ORDER BY teamCount DESC LIMIT 10",neo4jLabs_synthetic_gpt4o,instance_id_43289,neo4jlabs_demo_db_twitch
Which streams have a total view count of between 1 million and 2 million and are moderated by at least three different users?,"MATCH (s:Stream)-[:MODERATOR]->(u:User) WHERE s.total_view_count >= 1000000 AND s.total_view_count <= 2000000 WITH s, count(DISTINCT u) AS moderatorCount WHERE moderatorCount >= 3 RETURN s",neo4jLabs_synthetic_gpt4turbo,instance_id_25504,neo4jlabs_demo_db_twitch
Which 5 actors have acted in movies with the highest average imdbRating?,"MATCH (a:Actor)-[:ACTED_IN]->(m:Movie) WITH a, avg(m.imdbRating) AS avgRating ORDER BY avgRating DESC LIMIT 5 RETURN a.name, avgRating",neo4jLabs_synthetic_gpt4turbo,instance_id_26152,neo4jlabs_demo_db_recommendations
Show the first 5 filings with the most entities involved as concerns from the same sector.,"MATCH (f:Filing)-[:CONCERNS]->(e:Entity) WITH f, count(e) AS entitiesCount ORDER BY entitiesCount DESC LIMIT 5 RETURN f, entitiesCount",neo4jLabs_synthetic_gpt4turbo,instance_id_21509,neo4jlabs_demo_db_fincen
What are the first 3 collections that include videos?,MATCH (v:Video)-[:IN_COLLECTION]->(c:Collection) RETURN DISTINCT c LIMIT 3,neo4jLabs_synthetic_gpt4turbo,instance_id_23352,neo4jlabs_demo_db_eoflix
List the top 3 users with the lowest following counts who follow 'Neo4j'.,MATCH (u:User)-[:FOLLOWS]->(m:Me {screen_name: 'neo4j'}) RETURN u ORDER BY u.following ASC LIMIT 3,neo4jLabs_synthetic_gpt4turbo,instance_id_24168,neo4jlabs_demo_db_twitter
Find the top 5 movies released most recently.,"MATCH (m:Movie) WHERE m.released IS NOT NULL RETURN m.title, m.released ORDER BY m.released DESC LIMIT 5",neo4jLabs_synthetic_claudeopus,instance_id_36154,neo4jlabs_demo_db_recommendations
How many users does 'neo4j' amplify?,MATCH (me:Me {screen_name: 'neo4j'})-[:AMPLIFIES]->(user:User) RETURN count(user) AS AmplifiedUsersCount,neo4jLabs_synthetic_gpt4turbo,instance_id_24849,neo4jlabs_demo_db_twitter
What are the top 3 beneficiary ISO codes in the filings?,"MATCH (f:Filing)-[:BENEFITS]->(e:Entity) RETURN f.beneficiary_iso AS BeneficiaryISO, count(f) AS NumberOfFilings ORDER BY NumberOfFilings DESC LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_22881,neo4jlabs_demo_db_fincen
Which actors have starred in movies with a budget greater than 200 million?,MATCH (m:Movie) WHERE m.budget > 200000000 MATCH (a:Actor)-[:ACTED_IN]->(m) RETURN DISTINCT a.name,neo4jLabs_synthetic_gemini,instance_id_29329,neo4jlabs_demo_db_recommendations
"Which hashtags were used in tweets that mention users followed by the user with screen name ""neo4j""?","MATCH (u:User {screen_name: ""neo4j""})-[:FOLLOWS]->(followed:User)<-[:MENTIONS]-(t:Tweet)-[:TAGS]->(h:Hashtag) RETURN DISTINCT h.name",neo4jLabs_synthetic_gemini,instance_id_34664,neo4jlabs_demo_db_twitter
"""Did Keanu Reeves play any movies?""","MATCH (p:Person {name: ""Keanu Reeves""})-[:ACTED_IN]->(m:Movie) RETURN m.title AS MovieTitle, m.released AS ReleaseYear, m.votes AS Votes, m.tagline AS Tagline",neo4j_crowdsourced,instance_id_27536,neo4jlabs_demo_db_movies
List the former and current names of entities with a 'same_name_as' relationship.,"MATCH (e1:Entity)-[:same_name_as]->(e2:Entity) WHERE e1.former_name IS NOT NULL OR e2.former_name IS NOT NULL RETURN e1.name AS CurrentName1, e1.former_name AS FormerName1, e2.name AS CurrentName2, e2.former_name AS FormerName2",neo4jLabs_synthetic_gpt4o,instance_id_44929,neo4jlabs_demo_db_offshoreleaks
List the top 3 actors who have acted in movies with a tagline including the word 'limits'.,"MATCH (p:Person)-[r:ACTED_IN]->(m:Movie) WHERE m.tagline CONTAINS 'limits' WITH p, COUNT(m) AS movieCount ORDER BY movieCount DESC LIMIT 3 RETURN p.name AS actor, movieCount",neo4jLabs_synthetic_gpt4o,instance_id_39975,neo4jlabs_demo_db_movies
Which actor has acted in the most movies with a budget greater than 200 million dollars?,"MATCH (actor:Actor)-[:ACTED_IN]->(movie:Movie) WHERE movie.budget > 200000000 WITH actor, count(movie) AS movieCount ORDER BY movieCount DESC RETURN actor.name, movieCount LIMIT 1",neo4jLabs_synthetic_gemini,instance_id_29881,neo4jlabs_demo_db_recommendations
List the top 3 movies with a released date on a Friday.,MATCH (m:Movie) WHERE m.released IS NOT NULL AND date(m.released).dayOfWeek = 5 RETURN m ORDER BY m.released DESC LIMIT 3,neo4jLabs_synthetic_gpt4turbo,instance_id_25081,neo4jlabs_demo_db_recommendations
List the first 3 movies with an IMDb ID starting with 'tt'.,MATCH (m:Movie) WHERE m.imdb_id STARTS WITH 'tt' RETURN m LIMIT 3,neo4jLabs_synthetic_gpt4turbo,instance_id_23407,neo4jlabs_demo_db_eoflix
What is the disk size of the type 'l'?,MATCH (t:Type {type: 'l'}) RETURN t.disk,neo4jLabs_synthetic_gemini,instance_id_31654,neo4jlabs_demo_db_network
What are the first 3 tweets that contain a link starting with 'https://twitter.com'?,"MATCH (t:Tweet)-[:CONTAINS]->(l:Link) WHERE l.url STARTS WITH 'https://twitter.com' RETURN t.text, l.url LIMIT 3",neo4jLabs_synthetic_claudeopus,instance_id_36747,neo4jlabs_demo_db_twitter
What are the top 3 categories with the most products?,"MATCH (p:Product)-[:PART_OF]->(c:Category) WITH c, count(p) AS productCount ORDER BY productCount DESC LIMIT 3 RETURN c.categoryName, productCount",neo4jLabs_synthetic_gpt4turbo,instance_id_20483,neo4jlabs_demo_db_northwind
What is the link value for the relationship connecting two Addresses with the same address?,MATCH (a1:Address)-[r:same_as]->(a2:Address) RETURN DISTINCT r.link,neo4jLabs_synthetic_gemini,instance_id_31375,neo4jlabs_demo_db_offshoreleaks
What are the names of the services running on the machine with the application 'webapp'?,MATCH (app:Application {name: 'webapp'})<-[:RUNS]-(machine:Machine) MATCH (machine)-[:RUNS]->(service:Service) RETURN service.name,neo4jLabs_synthetic_gemini,instance_id_31668,neo4jlabs_demo_db_network
Who are the top 3 users mentioned in the tweets that 'Neo4j' mentions?,"MATCH (u:User {name: 'Neo4j'})-[:POSTS]->(t:Tweet)-[:MENTIONS]->(mentioned:User) RETURN mentioned.name, count(*) AS mentions ORDER BY mentions DESC LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_24812,neo4jlabs_demo_db_twitter
Which genre has the most movies that have been adapted into video games?,"MATCH (m:Movie)-[:HAS_KEYWORD]->(k:Keyword)<-[:HAS_KEYWORD]-(v:Video) WITH m, count(DISTINCT v) AS videoGameCount WITH m, videoGameCount  MATCH (m)-[:IN_GENRE]->(g:Genre) WITH g, count(m) AS movieCount, avg(videoGameCount) AS avgVideoGameCount  ORDER BY movieCount DESC RETURN g.name AS genreName, movieCount, avgVideoGameCount LIMIT 1",neo4jLabs_synthetic_gemini,instance_id_32032,neo4jlabs_demo_db_eoflix
List the games played by streams with the lowest follower counts.,"MATCH (s:Stream)-[:PLAYS]->(g:Game) WHERE s.followers IS NOT NULL RETURN g.name AS Game, s.followers AS Followers ORDER BY s.followers ASC LIMIT 1",neo4jLabs_synthetic_gpt4turbo,instance_id_24458,neo4jlabs_demo_db_twitch
Which application listens on port 80?,MATCH (p:Port {port: 80})<-[:LISTENS]-(a:Application) RETURN a.name,neo4jLabs_synthetic_gpt4o,instance_id_44079,neo4jlabs_demo_db_network
List top 5 actors by number of movies acted in.,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie) RETURN p.name, count(m) AS movies_count ORDER BY movies_count DESC LIMIT 5",neo4jLabs_synthetic_gpt4turbo,instance_id_23315,neo4jlabs_demo_db_movies
What is the average rating of movies reviewed by people born before 1970?,MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WHERE p.born < 1970 RETURN avg(r.rating) AS average_rating,neo4jLabs_synthetic_gpt4o,instance_id_39524,neo4jlabs_demo_db_movies
Which people have directed movies that won an Academy Award for Best Picture?,MATCH (p:Person)-[:DIRECTED]->(m:Movie) RETURN DISTINCT p.name,neo4jLabs_synthetic_gemini,instance_id_32705,neo4jlabs_demo_db_movies
What are the top 5 movies with the longest plots?,MATCH (m:Movie) WHERE m.plot IS NOT NULL RETURN m ORDER BY size(m.plot) DESC LIMIT 5,neo4jLabs_synthetic_gpt4turbo,instance_id_25002,neo4jlabs_demo_db_recommendations
Which adult films are associated with the genre 'Horror'?,"MATCH (a:Adult)-[:IN_GENRE]->(g:Genre {name: 'Horror'}) RETURN a.title AS AdultFilmTitle, a.id AS AdultFilmID",neo4jLabs_synthetic_gpt4o,instance_id_44316,neo4jlabs_demo_db_eoflix
List the top 5 movies with the tagline 'Welcome to the Real World' that were released after 1995.,"MATCH (m:Movie) WHERE m.tagline = 'Welcome to the Real World' AND m.released > 1995 RETURN m.title, m.released, m.tagline ORDER BY m.released DESC LIMIT 5",neo4jLabs_synthetic_claudeopus,instance_id_36329,neo4jlabs_demo_db_movies
Identify the top 3 entities based on the total amount of filings where the beneficiary bank's country is 'United Kingdom'.,"MATCH (f:Filing)-[:BENEFITS]->(e:Entity) WHERE f.beneficiary_bank_country = 'United Kingdom' RETURN e.name AS EntityName, sum(f.amount) AS TotalAmount ORDER BY TotalAmount DESC LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_21189,neo4jlabs_demo_db_fincen
